datetime,home_team,away_team,home_goal,away_goal,season,round,saldo_casa,saldo_casa_contra,saldo_visitante,saldo_visitante_contra,result
2012-08-29T19:30:00Z,Coritiba-PR,Internacional-RS,1,0,2012,20,32,37,22,16,3
2012-08-29T19:30:00Z,Santos-SP,Bahia-BA,1,3,2012,20,24,26,18,25,0
2012-08-29T20:30:00Z,Nautico-PE,Figueirense-SC,3,2,2012,20,27,31,20,36,3
2012-08-29T20:30:00Z,Atletico-MG,Ponte Preta-SP,2,2,2012,20,36,17,23,28,1
2012-08-29T20:30:00Z,Portuguesa-SP,Palmeiras-SP,3,0,2012,20,20,21,18,26,3
2012-08-29T22:00:00Z,Fluminense-RJ,Corinthians-SP,1,1,2012,20,32,12,21,21,1
2012-08-29T22:00:00Z,Gremio-RS,Vasco da Gama-RJ,2,0,2012,20,31,16,25,19,3
2012-08-29T22:00:00Z,Atletico-GO,Cruzeiro-MG,0,2,2012,20,20,35,26,27,0
2012-08-30T21:00:00Z,Flamengo-RJ,Sport-PE,1,1,2012,20,24,24,14,27,1
2012-08-30T21:00:00Z,Sao Paulo-SP,Botafogo-RJ,4,0,2012,20,33,24,30,28,3
2012-09-01T18:30:00Z,Palmeiras-SP,Gremio-RS,0,0,2012,21,18,26,31,16,1
2012-09-01T18:30:00Z,Figueirense-SC,Fluminense-RJ,2,2,2012,21,22,38,34,14,1
2012-09-01T21:00:00Z,Vasco da Gama-RJ,Portuguesa-SP,2,0,2012,21,27,19,20,23,3
2012-09-02T16:00:00Z,Bahia-BA,Sao Paulo-SP,1,0,2012,21,19,25,33,25,3
2012-09-02T16:00:00Z,Sport-PE,Santos-SP,2,1,2012,21,16,28,25,28,3
2012-09-02T16:00:00Z,Internacional-RS,Flamengo-RJ,4,1,2012,21,26,17,25,28,3
2012-09-02T16:00:00Z,Corinthians-SP,Atletico-MG,1,0,2012,21,22,21,36,18,3
2012-09-02T18:30:00Z,Botafogo-RJ,Coritiba-PR,2,0,2012,21,32,28,32,39,3
2012-09-02T18:30:00Z,Cruzeiro-MG,Nautico-PE,3,0,2012,21,29,27,27,34,3
2012-09-02T18:30:00Z,Ponte Preta-SP,Atletico-GO,3,1,2012,21,26,29,21,38,3
2012-09-05T19:30:00Z,Flamengo-RJ,Ponte Preta-SP,0,1,2012,22,25,29,27,29,0
2012-09-05T19:30:00Z,Portuguesa-SP,Coritiba-PR,3,0,2012,22,23,23,32,42,3
2012-09-05T19:30:00Z,Nautico-PE,Vasco da Gama-RJ,1,1,2012,22,28,35,28,20,1
2012-09-05T19:30:00Z,Bahia-BA,Atletico-MG,0,0,2012,22,19,25,36,18,1
2012-09-05T20:30:00Z,Gremio-RS,Atletico-GO,2,1,2012,22,33,17,22,40,3
2012-09-05T22:00:00Z,Figueirense-SC,Corinthians-SP,1,0,2012,22,23,38,22,22,3
2012-09-05T22:00:00Z,Cruzeiro-MG,Botafogo-RJ,1,3,2012,22,30,30,35,29,0
2012-09-05T22:00:00Z,Sao Paulo-SP,Internacional-RS,1,1,2012,22,34,26,27,18,1
2012-09-06T21:00:00Z,Fluminense-RJ,Santos-SP,3,1,2012,22,37,15,26,31,3
2012-09-06T21:00:00Z,Palmeiras-SP,Sport-PE,3,1,2012,22,21,27,17,31,3
2012-09-08T18:30:00Z,Ponte Preta-SP,Figueirense-SC,2,2,2012,23,29,31,25,40,1
2012-09-08T18:30:00Z,Coritiba-PR,Flamengo-RJ,3,0,2012,23,35,42,25,32,3
2012-09-08T21:00:00Z,Corinthians-SP,Gremio-RS,3,1,2012,23,25,23,34,20,3
2012-09-09T16:00:00Z,Botafogo-RJ,Nautico-PE,3,1,2012,23,38,30,29,38,3
2012-09-09T16:00:00Z,Santos-SP,Sao Paulo-SP,0,0,2012,23,26,31,34,26,1
2012-09-09T16:00:00Z,Internacional-RS,Fluminense-RJ,0,1,2012,23,27,19,38,15,0
2012-09-09T18:30:00Z,Atletico-GO,Portuguesa-SP,1,1,2012,23,23,41,24,24,1
2012-09-09T18:30:00Z,Atletico-MG,Palmeiras-SP,3,0,2012,23,39,18,21,30,3
2012-09-09T18:30:00Z,Sport-PE,Cruzeiro-MG,2,1,2012,23,19,32,31,32,3
2012-09-09T18:30:00Z,Vasco da Gama-RJ,Bahia-BA,0,4,2012,23,28,24,23,25,0
2012-09-12T19:30:00Z,Corinthians-SP,Ponte Preta-SP,1,1,2012,24,26,24,30,32,1
2012-09-12T19:30:00Z,Portuguesa-SP,Fluminense-RJ,0,2,2012,24,24,26,40,15,0
2012-09-12T19:30:00Z,Figueirense-SC,Cruzeiro-MG,2,0,2012,24,27,40,31,34,3
2012-09-12T20:30:00Z,Sport-PE,Bahia-BA,1,1,2012,24,20,33,24,26,1
2012-09-12T20:30:00Z,Atletico-GO,Coritiba-PR,1,2,2012,24,24,43,37,43,0
2012-09-12T22:00:00Z,Vasco da Gama-RJ,Palmeiras-SP,3,1,2012,24,31,25,22,33,3
2012-09-12T22:00:00Z,Santos-SP,Flamengo-RJ,2,0,2012,24,28,31,25,34,3
2012-09-12T22:00:00Z,Atletico-MG,Sao Paulo-SP,1,0,2012,24,40,18,34,27,3
2012-09-13T21:00:00Z,Gremio-RS,Nautico-PE,2,0,2012,24,36,20,29,40,3
2012-09-13T21:00:00Z,Botafogo-RJ,Internacional-RS,1,1,2012,24,39,31,28,20,1
2012-09-15T18:30:00Z,Fluminense-RJ,Atletico-GO,1,2,2012,25,41,17,26,44,0
2012-09-15T18:30:00Z,Sao Paulo-SP,Portuguesa-SP,3,1,2012,25,37,28,25,29,3
2012-09-16T16:00:00Z,Palmeiras-SP,Corinthians-SP,0,2,2012,25,22,35,28,24,0
2012-09-16T16:00:00Z,Cruzeiro-MG,Vasco da Gama-RJ,1,1,2012,25,32,35,32,26,1
2012-09-16T16:00:00Z,Coritiba-PR,Santos-SP,1,2,2012,25,38,45,30,32,0
2012-09-16T16:00:00Z,Nautico-PE,Atletico-MG,1,0,2012,25,30,40,40,19,3
2012-09-16T16:00:00Z,Bahia-BA,Figueirense-SC,2,1,2012,25,26,27,28,42,3
2012-09-16T18:30:00Z,Flamengo-RJ,Gremio-RS,1,1,2012,25,26,35,37,21,1
2012-09-16T18:30:00Z,Internacional-RS,Sport-PE,2,2,2012,25,30,22,22,35,1
2012-09-16T18:30:00Z,Ponte Preta-SP,Botafogo-RJ,0,0,2012,25,30,32,39,31,1
2012-09-22T18:30:00Z,Fluminense-RJ,Nautico-PE,2,1,2012,26,43,18,31,42,3
2012-09-22T18:30:00Z,Figueirense-SC,Palmeiras-SP,1,3,2012,26,29,45,25,36,0
2012-09-22T21:00:00Z,Santos-SP,Portuguesa-SP,1,3,2012,26,31,35,28,30,0
2012-09-23T16:00:00Z,Botafogo-RJ,Corinthians-SP,2,2,2012,26,41,33,30,26,1
2012-09-23T16:00:00Z,Sao Paulo-SP,Cruzeiro-MG,1,0,2012,26,38,28,32,36,3
2012-09-23T16:00:00Z,Ponte Preta-SP,Vasco da Gama-RJ,0,0,2012,26,30,32,32,26,1
2012-09-23T16:00:00Z,Atletico-GO,Flamengo-RJ,1,2,2012,26,27,46,28,36,0
2012-09-23T18:30:00Z,Internacional-RS,Bahia-BA,3,1,2012,26,33,23,27,30,3
